	index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon_x	Lat_x	attributes.resolution	attributes.h3index	lat	lon	Lat_y	Lon_y	Population	h3index	res	source	t	factID
2032	38	891fa8b285bffff	h3place				10.24489	50.5004	9.0		50.50040109826682	10.244891287500884	50.50069444448484	10.243750000008196	1.1508156051621077	891fa8b285bffff	9	data4good.population	2019	demographics.population
2050	39	891fad4198fffff	h3place				10.22291	50.66785	9.0		50.66785459713575	10.222911996835615	50.66875000004053	10.224583333341512	0.9072623784221716	891fad4198fffff	9	data4good.population	2019	demographics.population
2145	40	891fad4f1b7ffff	h3place				10.25778	50.62042	9.0		50.6204244208622	10.257780711723255	50.62041666670716	10.25680555556376	1.012359497182277	891fad4f1b7ffff	9	data4good.population	2019	demographics.population
2151	28	891fad4cb2fffff	h3place				10.42008	50.56896	9.0		50.56896117034662	10.42008105758942	50.57041666670712	10.420138888897224	3.5366886390957952	891fad4cb2fffff	9	data4good.population	2019	demographics.population
2210	43	891fad4cb33ffff	h3place				10.41467	50.57355	9.0		50.57354801438067	10.41467161112321	50.57347222226268	10.41652777778611	3.5366886390957952	891fad4cb33ffff	9	data4good.population	2019	demographics.population
2316	44	891fad4e647ffff	h3place				10.23822	50.64143	9.0		50.641430380510826	10.23822458202266	50.64236111115162	10.236805555563745	1.020713232893291	891fad4e647ffff	9	data4good.population	2019	demographics.population
2417	47	891fad4dd93ffff	h3place				10.33129	50.57636	9.0		50.576356159911626	10.331291090032444	50.57597222226268	10.333472222230489	3.5366886390957952	891fad4dd93ffff	9	data4good.population	2019	demographics.population
2444	48	891fad49927ffff	h3place				10.1367	50.5287	9.0		50.528703619699534	10.136697590011128	50.527916666707085	10.13736111111922	2.113882866535031	891fad49927ffff	9	data4good.population	2019	demographics.population
2546	49	891fad4c327ffff	h3place				10.33555	50.58179	9.0		50.58178883912003	10.335550317373857	50.58041666670713	10.335416666674934	3.5366886390957952	891fad4c327ffff	9	data4good.population	2019	demographics.population
2600	50	891fa8b2b03ffff	h3place				10.27773	50.49065	9.0		50.49065404171756	10.277729746159713	50.49013888892928	10.277083333341556	1.1508156051621077	891fa8b2b03ffff	9	data4good.population	2019	demographics.population
2604	51	891fad4dea7ffff	h3place				10.30247	50.55105	9.0		50.55105039436511	10.302466469114314	50.55125000004044	10.303194444452686	1.0258616639570262	891fad4dea7ffff	9	data4good.population	2019	demographics.population
2722	53	891fa8b09bbffff	h3place				10.31983	50.46398	9.0		50.46398333950239	10.319827999199504	50.462638888929256	10.31930555556381	1.2103972155206473	891fa8b09bbffff	9	data4good.population	2019	demographics.population
2767	54	891fad4d12bffff	h3place				10.27985	50.55664	9.0		50.556640296278765	10.2798467213878	50.55625000004044	10.278750000008223	1.0258616639570262	891fad4d12bffff	9	data4good.population	2019	demographics.population
2840	55	891fa8b2e2fffff	h3place				10.24006	50.49997	9.0		50.49997224474671	10.240063035803434	50.49986111115151	10.238472222230412	1.1508156051621077	891fa8b2e2fffff	9	data4good.population	2019	demographics.population
2863	56	891fad4c913ffff	h3place				10.41722	50.594	9.0		50.59400274242564	10.4172247910275	50.59375000004047	10.41513888889722	3.5366886390957952	891fad4c913ffff	9	data4good.population	2019	demographics.population
2875	57	891fad796dbffff	h3place				10.42164	50.57669	9.0		50.57668564676235	10.421643709260943	50.57625000004046	10.41930555556389	3.5366886390957952	891fad796dbffff	9	data4good.population	2019	demographics.population
2991	34	891fa8b26b3ffff	h3place				10.14482	50.52184	9.0		50.521841800669584	10.144822860356864	50.52125000004042	10.14291666667478	2.113882866535031	891fa8b26b3ffff	9	data4good.population	2019	demographics.population
3015	37	891fad4c9cfffff	h3place				10.41025	50.59087	9.0		50.590865355345095	10.410251314551074	50.59097222226269	10.411805555563884	3.5366886390957952	891fad4c9cfffff	9	data4good.population	2019	demographics.population
3019	60	891fad4ad3bffff	h3place				10.14846	50.63595	9.0		50.63594604880961	10.148458414053618	50.63458333337384	10.148194444452562	0.9772383940481996	891fad4ad3bffff	9	data4good.population	2019	demographics.population
3159	38	891fad4ca6bffff	h3place				10.37228	50.55972	9.0		50.559722026801246	10.372282673962426	50.56069444448489	10.37347222223052	3.5366886390957952	891fad4ca6bffff	9	data4good.population	2019	demographics.population
3200	63	891fad41ecfffff	h3place				10.1461	50.65594	9.0		50.65594265170428	10.146096778165797	50.65597222226275	10.148194444452562	1.0403752991082102	891fad41ecfffff	9	data4good.population	2019	demographics.population
3216	64	891fad49d6fffff	h3place				10.10655	50.53611	9.0		50.536113804751544	10.106553554788206	50.534861111151535	10.105416666674753	2.113882866535031	891fad49d6fffff	9	data4good.population	2019	demographics.population
3245	65	891fad4f6dbffff	h3place				10.16166	50.60681	9.0		50.6068059216255	10.161664507585808	50.60625000004048	10.160694444452572	3.184782488615641	891fad4f6dbffff	9	data4good.population	2019	demographics.population
3271	66	891fa8b042fffff	h3place				10.19143	50.47792	9.0		50.47791837663368	10.19142807464736	50.479305555595936	10.19152777778593	1.2075445261301274	891fa8b042fffff	9	data4good.population	2019	demographics.population
3351	67	891fad4a987ffff	h3place				10.16143	50.62953	9.0		50.629528498544516	10.161430127039548	50.62958333337384	10.162916666674796	0.9772383940481996	891fad4a987ffff	9	data4good.population	2019	demographics.population
3463	429	891fa8b65c7ffff	h3place				10.41639	50.55852	9.0		50.55851992152387	10.416385637514965	50.557083333373775	10.416250000008333	3.5366886390957952	891fa8b65c7ffff	9	data4good.population	2019	demographics.population
3633	430	891fad4edc7ffff	h3place				10.37047	50.66068	9.0		50.660680042673015	10.370467089615124	50.66152777781831	10.369027777786073	2.020251514002115	891fad4edc7ffff	9	data4good.population	2019	demographics.population
3685	433	891fad4ab33ffff	h3place				10.15471	50.60366	9.0		50.60365555203598	10.154709637361599	50.60375000004048	10.157083333341458	3.184782488615641	891fad4ab33ffff	9	data4good.population	2019	demographics.population
3755	72	891fad4dd97ffff	h3place				10.33613	50.57678	9.0		50.576781749400695	10.33612723740547	50.57708333337379	10.334027777786044	3.5366886390957952	891fad4dd97ffff	9	data4good.population	2019	demographics.population
3784	73	891fad4c32bffff	h3place				10.32858	50.57865	9.0		50.57864684547667	10.328584383537116	50.57986111115157	10.328750000008265	3.5366886390957952	891fad4c32bffff	9	data4good.population	2019	demographics.population
3785	74	891fad4ea27ffff	h3place				10.36539	50.6198	9.0		50.619804746232234	10.36538577615798	50.61986111115161	10.364305555563847	1.6851729299366347	891fad4ea27ffff	9	data4good.population	2019	demographics.population
3870	75	891fad4ccdbffff	h3place				10.34989	50.60581	9.0		50.60580522043469	10.34988734726949	50.60597222226271	10.349583333341611	0.9501030550824334	891fad4ccdbffff	9	data4good.population	2019	demographics.population
3873	77	891fad48427ffff	h3place				10.0608	50.59268	9.0		50.59267547906208	10.060800465089747	50.59125000004047	10.060694444452492	4.034496347619977	891fad48427ffff	9	data4good.population	2019	demographics.population
3945	78	891fad48933ffff	h3place				10.19265	50.57165	9.0		50.57165401881678	10.192652233321802	50.57097222226268	10.192083333341486	1.0258616639570262	891fad48933ffff	9	data4good.population	2019	demographics.population
4055	79	891fad4de97ffff	h3place				10.28739	50.55478	9.0		50.554777597391954	10.287386768228476	50.554305555596	10.286250000008229	1.0258616639570262	891fad4de97ffff	9	data4good.population	2019	demographics.population
4209	43	891fad4dc83ffff	h3place				10.30015	50.57108	9.0		50.57108163104799	10.300149914086973	50.56986111115157	10.29875000000824	1.0258616639570262	891fad4dc83ffff	9	data4good.population	2019	demographics.population
4249	82	891fad4c073ffff	h3place				10.29996	50.59382	9.0		50.59382330823379	10.299960398710844	50.594583333373805	10.29986111111935	1.2691787711185534	891fad4c073ffff	9	data4good.population	2019	demographics.population
4255	83	891fa8b0187ffff	h3place				10.23062	50.47635	9.0		50.47634607867973	10.23061874155922	50.47736111115149	10.229583333341516	1.1159441358328408	891fa8b0187ffff	9	data4good.population	2019	demographics.population
4291	84	891fad489c3ffff	h3place				10.17062	50.57221	9.0		50.572213860942156	10.170617165629654	50.572361111151565	10.17069444445258	3.2200093858776166	891fad489c3ffff	9	data4good.population	2019	demographics.population
4295	85	891fa8b544fffff	h3place				10.34299	50.45336	9.0		50.45335700709699	10.3429944882364	50.45236111115147	10.34291666667494	1.2103972155206473	891fa8b544fffff	9	data4good.population	2019	demographics.population
4383	86	891fa8b7583ffff	h3place				10.35697	50.52295	9.0		50.52295350786233	10.356966659356583	50.52319444448486	10.357916666674951	1.6302211712793586	891fa8b7583ffff	9	data4good.population	2019	demographics.population
4393	87	891fa8b64c7ffff	h3place				10.38253	50.55556	9.0		50.55556014025317	10.382528770281832	50.55458333337378	10.382083333341638	3.5366886390957952	891fa8b64c7ffff	9	data4good.population	2019	demographics.population
4410	88	891fa8b081bffff	h3place				10.27696	50.45513	9.0		50.455130999484496	10.276962732674098	50.45625000004036	10.277083333341556	1.2967513838583256	891fa8b081bffff	9	data4good.population	2019	demographics.population
4490	89	891fad4eba7ffff	h3place				10.39599	50.63007	9.0		50.63006731720959	10.395989896383282	50.62986111115161	10.39708333334165	1.355855329937861	891fad4eba7ffff	9	data4good.population	2019	demographics.population
4588	90	891fa8b332bffff	h3place				10.13801	50.45541	9.0		50.45540990151991	10.138012670814216	50.45541666670703	10.138194444452555	1.1159441358328408	891fa8b332bffff	9	data4good.population	2019	demographics.population
4633	91	891fa8b2e43ffff	h3place				10.21592	50.49783	9.0		50.497825091543596	10.21592432513093	50.49791666670706	10.21402777778595	1.2075445261301274	891fa8b2e43ffff	9	data4good.population	2019	demographics.population
4635	92	891fad4a90bffff	h3place				10.15777	50.61909	9.0		50.61909380877827	10.157774513681481	50.61986111115161	10.15819444445257	0.9772383940481996	891fad4a90bffff	9	data4good.population	2019	demographics.population
4716	93	891fad4536bffff	h3place				10.36021	50.66483	9.0		50.66483210438822	10.36020549109632	50.66458333337386	10.358472222230509	2.020251514002115	891fad4536bffff	9	data4good.population	2019	demographics.population
4786	94	891fad4a993ffff	h3place				10.15388	50.63138	9.0		50.63137922654684	10.153883227881956	50.63208333337384	10.153194444452566	0.9772383940481996	891fad4a993ffff	9	data4good.population	2019	demographics.population
4970	60	891fad4a9bbffff	h3place				10.16414	50.62724	9.0		50.62724455159909	10.164142101605167	50.62652777781828	10.163194444452577	0.9772383940481996	891fad4a9bbffff	9	data4good.population	2019	demographics.population
5140	61	891fad4d9b7ffff	h3place				10.36745	50.5593	9.0		50.5592979913629	10.367446659290257	50.55986111115156	10.368750000008294	3.5366886390957952	891fad4d9b7ffff	9	data4good.population	2019	demographics.population
5169	139	891fa8b3377ffff	h3place				10.13319	50.45498	9.0		50.45497698908309	10.133190622481507	50.45541666670703	10.134861111119218	1.1159441358328408	891fa8b3377ffff	9	data4good.population	2019	demographics.population
5264	140	891fad4d08fffff	h3place				10.23519	50.5628	9.0		50.56279746432204	10.235187434091172	50.561805555596	10.23458333334152	1.0258616639570262	891fad4d08fffff	9	data4good.population	2019	demographics.population
5314	141	891fa8b65cbffff	h3place				10.40942	50.55538	9.0		50.55538151458267	10.409415749216064	50.55597222226267	10.407361111119435	3.5366886390957952	891fa8b65cbffff	9	data4good.population	2019	demographics.population
5423	142	891fad41047ffff	h3place				10.09868	50.66431	9.0		50.66430844333682	10.098676486867515	50.66347222226275	10.098194444452522	0.9814466884331892	891fad41047ffff	9	data4good.population	2019	demographics.population
5430	143	891fad41a13ffff	h3place				10.17205	50.64311	9.0		50.643110565941114	10.172046179551296	50.64208333337385	10.171527777785917	0.9150634631258228	891fad41a13ffff	9	data4good.population	2019	demographics.population
5431	144	891fad48067ffff	h3place				10.07072	50.57082	9.0		50.57081960190604	10.070723022306991	50.57180555559601	10.072083333341393	4.034496347619977	891fad48067ffff	9	data4good.population	2019	demographics.population
5493	145	891fad4c95bffff	h3place				10.40598	50.58544	9.0		50.58543504678977	10.405984257984349	50.584861111151575	10.404583333341655	3.5366886390957952	891fad4c95bffff	9	data4good.population	2019	demographics.population
5539	71	891fad4c923ffff	h3place				10.43232	50.59026	9.0		50.59026106554291	10.43231523049496	50.58986111115158	10.43041666667501	3.5366886390957952	891fad4c923ffff	9	data4good.population	2019	demographics.population
5654	192	891fad4c00fffff	h3place				10.30209	50.59654	9.0		50.59653950010832	10.302088921443188	50.59569444448492	10.300138888897129	1.2691787711185534	891fad4c00fffff	9	data4good.population	2019	demographics.population
5659	193	891fad4c96bffff	h3place				10.42107	50.58169	9.0		50.5816941697532	10.421072660375968	50.58180555559602	10.418750000008334	3.5366886390957952	891fad4c96bffff	9	data4good.population	2019	demographics.population
5693	196	891fa8b0333ffff	h3place				10.22389	50.45042	9.0		50.45042001722478	10.22388519523346	50.44958333337369	10.222916666674845	1.1159441358328408	891fa8b0333ffff	9	data4good.population	2019	demographics.population
5710	197	891fad4ed9bffff	h3place				10.36989	50.66568	9.0		50.665681714216234	10.369891838379997	50.66513888892942	10.367638888897185	2.020251514002115	891fad4ed9bffff	9	data4good.population	2019	demographics.population
5797	198	891fad4e673ffff	h3place				10.24306	50.64186	9.0		50.6418600845845	10.243062520970751	50.64097222226273	10.242083333341526	1.020713232893291	891fad4e673ffff	9	data4good.population	2019	demographics.population
5828	199	891fa8b0603ffff	h3place				10.16154	50.46258	9.0		50.462584215581934	10.161537621481395	50.46319444448481	10.163194444452577	1.2954004903781993	891fa8b0603ffff	9	data4good.population	2019	demographics.population
5837	200	891fa8b25abffff	h3place				10.19405	50.5389	9.0		50.53889685613111	10.194049117038404	50.54013888892932	10.194861111119266	2.113882866535031	891fa8b25abffff	9	data4good.population	2019	demographics.population
5842	201	891fad4c677ffff	h3place				10.27095	50.59126	9.0		50.59125755181744	10.270945286347251	50.58986111115158	10.27097222223044	1.2691787711185534	891fad4c677ffff	9	data4good.population	2019	demographics.population
5854	78	891fad4eb67ffff	h3place				10.39016	50.61692	9.0		50.61691992477309	10.390161636916996	50.618194444484935	10.39152777778609	1.6851729299366347	891fad4eb67ffff	9	data4good.population	2019	demographics.population
5964	79	891fad4c9c7ffff	h3place				10.41239	50.59358	9.0		50.59358033727659	10.412385122476206	50.59430555559603	10.410416666674994	3.5366886390957952	891fad4c9c7ffff	9	data4good.population	2019	demographics.population
6212	80	891fa8b016fffff	h3place				10.23507	50.45901	9.0		50.45901407256117	10.235072313066345	50.45930555559592	10.2348611111193	1.1159441358328408	891fa8b016fffff	9	data4good.population	2019	demographics.population
6388	81	891fa8b040fffff	h3place				10.17907	50.47935	9.0		50.47934662724235	10.179072106231487	50.47875000004038	10.180972222230366	1.2075445261301274	891fa8b040fffff	9	data4good.population	2019	demographics.population
6404	206	891fad4cb3bffff	h3place				10.41254	50.57083	9.0		50.570832399535	10.412538300764691	50.57208333337379	10.414027777786108	3.5366886390957952	891fad4cb3bffff	9	data4good.population	2019	demographics.population
6486	207	891fad4cb63ffff	h3place				10.40827	50.5654	9.0		50.56540082536371	10.408272239025209	50.56541666670712	10.40680555556388	3.5366886390957952	891fad4cb63ffff	9	data4good.population	2019	demographics.population
6589	210	891fad4e32bffff	h3place				10.30558	50.62971	9.0		50.629706896274875	10.305579558719726	50.62958333337384	10.303194444452686	1.3528098678709617	891fad4e32bffff	9	data4good.population	2019	demographics.population
6592	211	891fad4cd4fffff	h3place				10.39459	50.59961	9.0		50.599610739769126	10.394588115799833	50.60041666670715	10.394861111119427	3.5366886390957952	891fad4cd4fffff	9	data4good.population	2019	demographics.population
6673	212	891fad4cdc3ffff	h3place				10.3886	50.6092	9.0		50.60919979533586	10.388601784807863	50.61041666670715	10.3901388888972	1.6851729299366347	891fad4cdc3ffff	9	data4good.population	2019	demographics.population
6712	213	891fad4a997ffff	h3place				10.15872	50.63181	9.0		50.63181227995745	10.158718010793269	50.63263888892939	10.159861111119238	0.9772383940481996	891fad4a997ffff	9	data4good.population	2019	demographics.population
6803	214	891fa8b702bffff	h3place				10.35558	50.49245	9.0		50.49245402823169	10.35558418852527	50.49125000004039	10.355972222230507	1.0836098913891206	891fa8b702bffff	9	data4good.population	2019	demographics.population
6834	216	891fad4a99bffff	h3place				10.15176	50.62866	9.0		50.62866244298362	10.151760889044791	50.629305555596055	10.1540277777859	0.9772383940481996	891fad4a99bffff	9	data4good.population	2019	demographics.population
6974	86	891fad4c973ffff	h3place				10.4205	50.5867	9.0		50.586702325958285	10.420501531528172	50.58569444448491	10.419583333341668	3.5366886390957952	891fad4c973ffff	9	data4good.population	2019	demographics.population
7069	218	891fad4f02bffff	h3place				10.22297	50.60469	9.0		50.604694974058475	10.22297064666699	50.60625000004048	10.222916666674845	1.183873268547034	891fad4f02bffff	9	data4good.population	2019	demographics.population
7092	221	891fa8b739bffff	h3place				10.35616	50.48744	9.0		50.48744024241994	10.356159002676165	50.4873611111515	10.356527777786065	1.0836098913891206	891fa8b739bffff	9	data4good.population	2019	demographics.population
7094	222	891fad4ad73ffff	h3place				10.1415	50.6328	9.0		50.632795791717896	10.141501684400103	50.63375000004051	10.140694444452556	0.9772383940481996	891fad4ad73ffff	9	data4good.population	2019	demographics.population
7098	223	891fad485b3ffff	h3place				10.08376	50.60486	9.0		50.604859253943914	10.083760421584866	50.60402777781826	10.085138888896957	5.887328607896226	891fad485b3ffff	9	data4good.population	2019	demographics.population
7139	224	891fad4e33bffff	h3place				10.30287	50.63199	9.0		50.631994797706525	10.302870281772199	50.63152777781828	10.300972222230463	1.3528098678709617	891fad4e33bffff	9	data4good.population	2019	demographics.population
7190	226	891fa8b0477ffff	h3place				10.18178	50.47706	9.0		50.47705641434043	10.181777940190067	50.477916666707046	10.181250000008143	1.2075445261301274	891fa8b0477ffff	9	data4good.population	2019	demographics.population
7330	89	891fad4c947ffff	h3place				10.41566	50.58628	9.0		50.58628009296631	10.415662272389518	50.5870833333738	10.414027777786108	3.5366886390957952	891fad4c947ffff	9	data4good.population	2019	demographics.population
7486	90	891fa8b043bffff	h3place				10.1839	50.47978	9.0		50.47977782620405	10.183897166360131	50.47875000004038	10.184027777785923	1.2075445261301274	891fa8b043bffff	9	data4good.population	2019	demographics.population
7488	92	891fad41313ffff	h3place				10.1192	50.65605	9.0		50.65605396516228	10.119204270374611	50.65625000004052	10.117361111119203	0.9957833470705706	891fad41313ffff	9	data4good.population	2019	demographics.population
7536	94	891fa8b65d7ffff	h3place				10.41368	50.56081	9.0		50.56081372129593	10.413681313703721	50.56013888892934	10.411805555563884	3.5366886390957952	891fa8b65d7ffff	9	data4good.population	2019	demographics.population
7542	95	891fad49cbbffff	h3place				10.07099	50.54808	9.0		50.54808349462951	10.070986478700377	50.54708333337377	10.0706944444525	13.51499928738336	891fad49cbbffff	9	data4good.population	2019	demographics.population
7544	232	891fa8b0ccbffff	h3place				10.24838	50.47033	9.0		50.47032745599448	10.24838484486043	50.4709722222626	10.246250000008196	1.1159441358328408	891fa8b0ccbffff	9	data4good.population	2019	demographics.population
7550	234	891fa8b54b3ffff	h3place				10.35576	50.46968	9.0		50.469677077168924	10.355755481167172	50.46986111115148	10.353750000008285	1.0836098913891206	891fa8b54b3ffff	9	data4good.population	2019	demographics.population
7554	235	891fad41bcfffff	h3place				10.19894	50.64299	9.0		50.64298622318726	10.1989404130382	50.64347222226274	10.196527777785937	0.9150634631258228	891fad41bcfffff	9	data4good.population	2019	demographics.population
7628	236	891fa8b089bffff	h3place				10.27368	50.46244	9.0		50.46243931803635	10.27367943584304	50.4620833333737	10.271527777785996	1.2967513838583256	891fa8b089bffff	9	data4good.population	2019	demographics.population
7850	96	891fa8b0ed3ffff	h3place				10.23295	50.45629	9.0		50.45629257865259	10.232951216134733	50.45625000004036	10.2348611111193	1.1159441358328408	891fa8b0ed3ffff	9	data4good.population	2019	demographics.population
7976	238	891fad4cdd3ffff	h3place				10.38589	50.61149	9.0		50.611490856641595	10.38589495253477	50.6123611111516	10.386805555563864	1.6851729299366347	891fad4cdd3ffff	9	data4good.population	2019	demographics.population
7991	239	891fad4ababffff	h3place				10.152	50.60594	9.0		50.60594013494071	10.151998390272253	50.6073611111516	10.152361111119232	3.184782488615641	891fad4ababffff	9	data4good.population	2019	demographics.population
8014	240	891fa8b65c3ffff	h3place				10.41155	50.5581	9.0		50.55809767532921	10.411548438328618	50.55875000004045	10.412916666674995	3.5366886390957952	891fa8b65c3ffff	9	data4good.population	2019	demographics.population
8035	241	891fad49c07ffff	h3place				10.07158	50.54308	9.0		50.54307848740848	10.07158124459271	50.54402777781821	10.071527777785834	13.51499928738336	891fad49c07ffff	9	data4good.population	2019	demographics.population
8057	242	891fad4c91bffff	h3place				10.41509	50.59129	9.0		50.59128783205442	10.415090734641659	50.59152777781825	10.414583333341664	3.5366886390957952	891fad4c91bffff	9	data4good.population	2019	demographics.population
8155	243	891fad4192fffff	h3place				10.2386	50.65915	9.0		50.65914664461537	10.23859913947953	50.66013888892942	10.237083333341522	1.0090023931144274	891fad4192fffff	9	data4good.population	2019	demographics.population
8179	245	891fa8b75bbffff	h3place				10.3645	50.52108	9.0		50.52108401412507	10.364503789368287	50.522361111151525	10.36541666667496	1.6302211712793586	891fa8b75bbffff	9	data4good.population	2019	demographics.population
8231	246	891fa8b2e27ffff	h3place				10.24219	50.50269	9.0		50.5026922249223	10.24218579665644	50.50319444448485	10.24430555556375	1.1508156051621077	891fa8b2e27ffff	9	data4good.population	2019	demographics.population
8237	248	891fad4cb27ffff	h3place				10.42221	50.57168	9.0		50.57167675702349	10.422214678199756	50.57097222226268	10.419861111119449	3.5366886390957952	891fad4cb27ffff	9	data4good.population	2019	demographics.population
8315	97	891fa8b26a3ffff	h3place				10.14753	50.51955	9.0		50.51955419700847	10.147531001439656	50.51902777781819	10.149305555563677	2.113882866535031	891fa8b26a3ffff	9	data4good.population	2019	demographics.population
